chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, 33, 0, 0.0, 9, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FichierCSV.java, FichierCSV, 44, 1, 0.022727272727272728, 5, 0.004545454545454545
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindBalancedSymbol.java, FindBalancedSymbol, 55, 52, 0.9454545454545454, 0, -1.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, 32, 41, 1.28125, 5, 0.25625
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LinesExtractor.java, LinesExtractor, 19, 27, 1.4210526315789473, 2, 0.7105263157894737
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, 318, 601, 1.889937106918239, 49, 0.038570145039147734
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, Main, 18, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, 76, 0, 0.0, 18, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, 40, 3, 0.075, 5, 0.015
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, 15, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, 37, 1, 0.02702702702702703, 4, 0.006756756756756757
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, 33, 0, 0.0, 9, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FichierCSV.java, FichierCSV, 44, 1, 0.022727272727272728, 5, 0.004545454545454545
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindBalancedSymbol.java, FindBalancedSymbol, 4, 4, 1.0, 0, -1.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, 13, 3, 0.23076923076923078, 1, 0.23076923076923078
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LinesExtractor.java, LinesExtractor, 6, 2, 0.3333333333333333, 0, -1.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, ERROR : Class could not be identified, 4, 4, 1.0, 1, 1.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, Main, 14, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, 76, 0, 0.0, 18, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, 34, 3, 0.08823529411764706, 4, 0.022058823529411766
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, 80, 6, 0.075, 1, 0.075
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, 37, 4, 0.10810810810810811, 4, 0.02702702702702703
